period,view,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
validation,all_events,65-69.9%,534,0.09447983014861996,0.6786622294929304,362.40563054922484,356,0.6666666666666666,-1.1995562826263795,0.625618917615408,0.705333628122316
validation,all_events,70-74.9%,1422,0.2515923566878981,0.7247906545989359,1030.6523108396868,1021,0.7180028129395218,-0.678784165941404,0.6940521213207633,0.7407788314226076
validation,all_events,75-79.9%,812,0.14366595895258316,0.7718009978226885,626.7024102320231,622,0.7660098522167488,-0.579114560593974,0.7356793279101069,0.7938353165460105
validation,all_events,80-84.9%,473,0.08368719037508847,0.8238561166903897,389.68394319455433,396,0.8372093023255814,1.3353185635191722,0.8012461037073821,0.8677393506802009
validation,all_events,85-89.9%,265,0.04688605803255485,0.8725340593465011,231.2215257268228,238,0.8981132075471698,2.5579148200668755,0.8558201933405215,0.9290289922187939
validation,all_events,90-94.9%,172,0.03043170559094126,0.9209317974881329,158.40026916795887,163,0.9476744186046512,2.674262111651826,0.9035586714558714,0.9722302410839985
validation,all_events,95%+,27,0.004777070063694267,0.9589056191482828,25.890451717003636,27,1.0,4.109438085171724,0.8754449702581328,0.9999999999999998
validation,best_selection,50-54.9%,0,0.0,,0.0,0,,,,
validation,best_selection,55-59.9%,0,0.0,,0.0,0,,,,
validation,best_selection,60-64.9%,0,0.0,,0.0,0,,,,
validation,best_selection,65-69.9%,68,0.036093418259023353,0.6933111556368875,47.14515858330835,52,0.7647058823529411,7.139472671605363,0.6514483202805676,0.8496550897970421
validation,best_selection,70-74.9%,755,0.4007430997876858,0.7245538052533443,547.038122966275,546,0.7231788079470198,-0.13749973063245102,0.6901946918859664,0.7539033421404394
validation,best_selection,75-79.9%,430,0.22823779193205945,0.7721791300492521,332.0370259211784,334,0.7767441860465116,0.4565055997259537,0.7350319241938513,0.813555572830874
validation,best_selection,80-84.9%,289,0.15339702760084925,0.8226339157333973,237.74120164695182,240,0.8304498269896193,0.7815911256222052,0.7829198174113733,0.8693102348810128
validation,best_selection,85-89.9%,168,0.08917197452229299,0.8733438756512509,146.72177110941016,150,0.8928571428571429,1.951326720589197,0.8370042872846299,0.9311456161547595
validation,best_selection,90-94.9%,147,0.07802547770700637,0.9212602478815629,135.42525643858974,138,0.9387755102040817,1.7515262322518765,0.8877440502646412,0.9674584982160312
validation,best_selection,95%+,27,0.014331210191082803,0.9589056191482828,25.890451717003636,27,1.0,4.109438085171724,0.8754449702581328,0.9999999999999998
confirmation_2025_26,all_events,50-54.9%,96,0.05970149253731343,0.5268011407268364,50.572909509776295,53,0.5520833333333334,2.5282192606497,0.4525163859774741,0.6476424069540183
confirmation_2025_26,all_events,55-59.9%,113,0.07027363184079602,0.576574166627714,65.15288082893169,62,0.5486725663716814,-2.790160025603261,0.45682790718795785,0.6373167578224362
