period,view,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high,share_of_matches,wilson995
confirmation_2025_26,best_selection,0.6,536,1.0,0.765045548091282,410.06441377692715,429,0.8003731343283582,3.5327586237076214,0.7644493388976596,0.8320220782910503,1.0,"[0.747713236848707, 0.8443297365769856]"
confirmation_2025_26,best_selection,0.65,536,1.0,0.765045548091282,410.06441377692715,429,0.8003731343283582,3.5327586237076214,0.7644493388976596,0.8320220782910503,1.0,"[0.747713236848707, 0.8443297365769856]"
confirmation_2025_26,best_selection,0.7,514,0.9589552238805971,0.7679634986569851,394.73323830969036,414,0.8054474708171206,3.748397216013555,0.7690116969078871,0.8373514952457262,0.9589552238805971,"[0.7519769566859892, 0.8496945727699438]"
confirmation_2025_26,best_selection,0.75,250,0.4664179104477612,0.8138165012710105,203.4541253177526,210,0.84,2.6183498728989507,0.7894631614651632,0.8802461948779344,0.4664179104477612,"[0.7646923629881961, 0.8945304154478162]"
confirmation_2025_26,best_selection,0.8,129,0.24067164179104478,0.8518066896806474,109.88306296880351,115,0.8914728682170543,3.966617853640686,0.8260607830534078,0.9342440261276411,0.24067164179104478,"[0.7909816267427633, 0.9468939888374553]"
confirmation_2025_26,best_selection,0.85,58,0.10820895522388059,0.886822521840784,51.43570626676547,55,0.9482758620689655,6.145334022818149,0.8586059880915734,0.9822538653405896,0.10820895522388059,"[0.8011667357577468, 0.9881538948289925]"
confirmation_2025_26,best_selection,0.9,16,0.029850746268656716,0.9259358927357562,14.814974283772099,15,0.9375,1.156410726424384,0.7167126242970107,0.9888806552353576,0.029850746268656716,"[0.5927045229479042, 0.9935739171870221]"
confirmation_2025_26,best_selection,0.95,1,0.0018656716417910447,0.9570941953370835,0.9570941953370835,1,1.0,4.290580466291649,0.20654931437723745,1.0,0.0018656716417910447,"[0.11261973280977161, 1.0]"
all,all_events,0.6,13019,0.7359109151545984,0.7417484935827527,9656.823637953858,9693,0.7445272294339043,0.2778735851151515,0.736964303470187,0.7519458948250913,2.207732745463795,"[0.7336522494301391, 0.7551063999471893]"
all,all_events,0.65,11705,0.6616358600418292,0.7548655003881614,8835.700682043429,8872,0.7579666809055959,0.31011805174345763,0.7501235138250159,0.7656405795943723,1.9849075801254876,"[0.7466826985389938, 0.768903586769333]"
all,all_events,0.7,9582,0.5416313379684585,0.7712434497120507,7390.0547351408695,7408,0.773116259653517,0.18728099414663246,0.7646219840702442,0.7813916363807578,1.6248940139053756,"[0.7608846763575815, 0.7848990358907194]"
all,all_events,0.75,4854,0.2743768017636086,0.8181441018506249,3971.2714703829333,3988,0.8215904408735064,0.3446339022881495,0.810566914174313,0.8321053563114156,0.8231304052908258,"[0.8056476169507929, 0.8364908892467211]"
all,all_events,0.8,2605,0.14725001413147928,0.8579454815779494,2234.947979510558,2259,0.8671785028790787,0.9233021301129352,0.8536035735502909,0.8796721084701706,0.4417500423944378,"[0.847401353644084, 0.8847411140704292]"
all,all_events,0.85,1260,0.0712226555875869,0.8946947625375504,1127.3154007973135,1152,0.9142857142857143,1.9590951748163832,0.8975415286332671,0.9285114487505963,0.21366796676276073,"[0.889492718226142, 0.9339294213205335]"
all,all_events,0.9,514,0.029054321406364818,0.9265516659050727,476.24755627520733,489,0.9513618677042801,2.4810201799207454,0.9291861909306315,0.9668409465192939,0.08716296421909446,"[0.917251117485084, 0.9718431171249567]"
all,all_events,0.95,71,0.0040133401164433894,0.9583935297508359,68.04594061230935,70,0.9859154929577465,2.7521963206910582,0.92443949479751,0.9975093967294558,0.012040020349330167,"[0.8761949224359096, 0.998557753864826]"
all,best_selection,0.6,5897,1.0,0.7751240844373964,4570.906725927327,4615,0.7826013227064609,0.7477238269064435,0.7718915223344971,0.792943175099674,1.0,"[0.7671520147385782, 0.7972964273795597]"
