period,estimator,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023_exposed,stack_market_elo,0.85,871,0.12205717488789238,0.9092771842813804,791.9804275090823,798,0.9161882893226176,0.6911105041237264,0.89590773169518,0.9328138528732013
development_2021_2023_exposed,stack_market_elo,0.9,468,0.0655829596412556,0.9397909591404904,439.8221688777495,450,0.9615384615384616,2.1747502397971186,0.9400268037411927,0.9755349637213939
development_2021_2023_exposed,stack_market_elo,0.95,169,0.023682735426008968,0.9673942574128959,163.4896295027794,165,0.9763313609467456,0.8937103533849688,0.9407313576010835,0.9907581189314049
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.55,4366,0.8618239242005526,0.7080217584036802,3091.2229971904676,3075,0.7043060009161705,-0.3715757487509741,0.6905946022592937,0.7176581951960757
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.6,3496,0.6900908014212397,0.7410400160468477,2590.6758960997795,2581,0.7382723112128147,-0.27677048340329913,0.7234452258959234,0.7525763366811926
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.65,2667,0.5264508487958942,0.7773198104686969,2073.1119345200145,2082,0.7806524184476941,0.33326079789971486,0.7645500847398322,0.7959474300250456
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.7,2021,0.39893407027240424,0.8103566986853629,1637.7308880431183,1622,0.8025729836714498,-0.7783715013913062,0.7846514870834819,0.819346418368483
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.75,1447,0.28562968811685746,0.8442935334397869,1221.6927428873717,1218,0.8417415342087077,-0.2551999231079183,0.8220342397245081,0.8596391395321762
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.8,1001,0.19759178839320962,0.875543898556243,876.4194424547993,875,0.8741258741258742,-0.14180244303688694,0.852136324189849,0.8932548949175358
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.85,590,0.11646269245953415,0.911737854048716,537.9253338887424,537,0.9101694915254237,-0.15683625232922882,0.8843658418793338,0.9306665086089135
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.9,333,0.06573233320173708,0.9404464904368743,313.16868131547915,311,0.933933933933934,-0.6512556502940359,0.9020008724015753,0.9559695241517754
SEALED_HOLDOUT_2024_2025,market_multiplicative,0.95,125,0.0246742992499013,0.968468247714712,121.058530964339,120,0.96,-0.8468247714711996,0.9097744468602555,0.9827953909280842
SEALED_HOLDOUT_2024_2025,market_additive,0.55,4366,0.8618239242005526,0.7083068772402143,3092.467826030776,3075,0.7043060009161705,-0.40008763240438894,0.6905946022592937,0.7176581951960757
SEALED_HOLDOUT_2024_2025,market_additive,0.6,3495,0.6898934070272404,0.7413933927335568,2591.1699076037808,2580,0.7381974248927039,-0.31959678408528536,0.7233669219884807,0.7525048828920978
SEALED_HOLDOUT_2024_2025,market_additive,0.65,2665,0.5260560600078957,0.7777486159053699,2072.700061387811,2082,0.7812382739212007,0.34896580158307877,0.7651439804847119,0.7965229536996729
SEALED_HOLDOUT_2024_2025,market_additive,0.7,2033,0.4013028030003948,0.8100332473251154,1646.7975918119596,1631,0.8022626660108214,-0.7770581314293978,0.7843861582738709,0.818999046145316
SEALED_HOLDOUT_2024_2025,market_additive,0.75,1448,0.2858270825108567,0.8445552165209661,1222.915953522359,1218,0.8411602209944752,-0.3394995526490918,0.8214337323259431,0.8590813431992701
SEALED_HOLDOUT_2024_2025,market_additive,0.8,1004,0.19818397157520726,0.8756254071496354,879.127908778234,878,0.8745019920318725,-0.1123415117762927,0.8525720925192001,0.8935770100191475
SEALED_HOLDOUT_2024_2025,market_additive,0.85,598,0.11804184761152783,0.9110494237139939,544.8075553809683,542,0.9063545150501672,-0.46949086638267135,0.8803412242264027,0.9271804127048829
SEALED_HOLDOUT_2024_2025,market_additive,0.9,334,0.06592972759573629,0.9404888955967107,314.1232911293014,312,0.9341317365269461,-0.6357159069764529,0.9022882249565021,0.9561025747171241
SEALED_HOLDOUT_2024_2025,market_additive,0.95,123,0.02427951046190288,0.9686132318214611,119.13942751403971,118,0.959349593495935,-0.9263638325526125,0.9083622660666856,0.9825136435185179
SEALED_HOLDOUT_2024_2025,market_power,0.55,4366,0.8618239242005526,0.7084607224558822,3093.1395142423817,3075,0.7043060009161705,-0.41547215397117476,0.6905946022592937,0.7176581951960757
SEALED_HOLDOUT_2024_2025,market_power,0.6,3496,0.6900908014212397,0.7415252523652351,2592.372282268862,2580,0.7379862700228833,-0.35389823423518374,0.7231543723111635,0.7522957358090772
SEALED_HOLDOUT_2024_2025,market_power,0.65,2669,0.5268456375838926,0.7777472843943306,2075.8075020484685,2084,0.7808167853128513,0.3069500918520651,0.7647246163303894,0.7961017637951966
SEALED_HOLDOUT_2024_2025,market_power,0.7,2033,0.4013028030003948,0.8102324231793115,1647.2025163235403,1631,0.8022626660108214,-0.7969757168490132,0.7843861582738709,0.818999046145316
SEALED_HOLDOUT_2024_2025,market_power,0.75,1449,0.2860244769048559,0.8447026956491045,1223.9742059955524,1219,0.8412698412698413,-0.3432854379263217,0.8215554209976015,0.8591795580294939
SEALED_HOLDOUT_2024_2025,market_power,0.8,1004,0.19818397157520726,0.8758542054052033,879.3576222268241,878,0.8745019920318725,-0.13522133733308017,0.8525720925192001,0.8935770100191475
