period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
SEALED_HOLDOUT_2024_2025,market_additive,55-59.9%,871,0.17193051717331229,0.575542960306539,501.2979184269954,495,0.5683122847301951,-0.7230675576343826,0.5351891989551432,0.600835447339529
SEALED_HOLDOUT_2024_2025,market_additive,60-64.9%,830,0.16383734701934466,0.6246624653204456,518.4698462159698,498,0.6,-2.466246532044558,0.5662845588356096,0.6327940528644784
SEALED_HOLDOUT_2024_2025,market_additive,65-69.9%,632,0.12475325700750099,0.6738963126200181,425.90246957585146,451,0.7136075949367089,3.9711282316690744,0.6771548115092748,0.7474793425780878
SEALED_HOLDOUT_2024_2025,market_additive,70-74.9%,585,0.1154757204895381,0.7245839970762404,423.8816382896007,413,0.705982905982906,-1.860109109333441,0.6678159123965672,0.7414623345574844
SEALED_HOLDOUT_2024_2025,market_additive,75-79.9%,444,0.08764311093564943,0.774297398072353,343.7880447441247,340,0.7657657657657657,-0.8531632306587267,0.7241952600569032,0.8027769426093291
SEALED_HOLDOUT_2024_2025,market_additive,80-84.9%,406,0.08014212396367944,0.8234491462986843,334.3203533972658,336,0.8275862068965517,0.4137060597867448,0.7878163992726935,0.8612150597832219
SEALED_HOLDOUT_2024_2025,market_additive,85-89.9%,264,0.05211212001579155,0.8738040312563139,230.68426425166686,230,0.8712121212121212,-0.259191004419268,0.8254211637295278,0.9063550178332068
SEALED_HOLDOUT_2024_2025,market_additive,90-94.9%,211,0.0416502171338334,0.9240941403566904,194.98386361526167,194,0.919431279620853,-0.46628607358373264,0.8747728121147671,0.9490905193464267
SEALED_HOLDOUT_2024_2025,market_additive,95%+,123,0.02427951046190288,0.9686132318214611,119.13942751403971,118,0.959349593495935,-0.9263638325526125,0.9083622660666856,0.9825136435185179
SEALED_HOLDOUT_2024_2025,market_power,50-54.9%,700,0.1381760757994473,0.5259347663716024,368.1543364601217,382,0.5457142857142857,1.9779519342683294,0.5086800297870259,0.5822495385098371
SEALED_HOLDOUT_2024_2025,market_power,55-59.9%,870,0.17173312277931307,0.5755945195097925,500.7672319735195,495,0.5689655172413793,-0.662900226841312,0.535826415259674,0.6014982662242508
SEALED_HOLDOUT_2024_2025,market_power,60-64.9%,827,0.16324516383734702,0.6246248853934622,516.5647802203932,496,0.599758162031439,-2.4866723362023224,0.5659788434165338,0.6326150017127197
SEALED_HOLDOUT_2024_2025,market_power,65-69.9%,636,0.12554283458349783,0.6739072102593212,428.60498572492827,453,0.7122641509433962,3.8356940684075025,0.675889060079113,0.7460904729408995
SEALED_HOLDOUT_2024_2025,market_power,70-74.9%,584,0.11527832609553888,0.7247060108355958,423.22831032798797,412,0.7054794520547946,-1.9226558780801262,0.6672638723230937,0.7410094748502738
SEALED_HOLDOUT_2024_2025,market_power,75-79.9%,445,0.08784050532964864,0.7744192893679291,344.61658376872845,341,0.7662921348314606,-0.8127154536468506,0.7247964305788855,0.8032296582380972
SEALED_HOLDOUT_2024_2025,market_power,80-84.9%,406,0.08014212396367944,0.823653498375559,334.40332034047697,334,0.8226600985221675,-0.099339985339153,0.7825334624622117,0.8567381250289531
SEALED_HOLDOUT_2024_2025,market_power,85-89.9%,260,0.051322542439794706,0.8737625352157894,227.17825915610524,228,0.8769230769230769,0.3160541707287523,0.8314160184452871,0.9114543434609551
SEALED_HOLDOUT_2024_2025,market_power,90-94.9%,204,0.040268456375838924,0.9224330640262028,188.1763450613454,187,0.9166666666666666,-0.5766397359536213,0.8706096642188562,0.9473214692739077
SEALED_HOLDOUT_2024_2025,market_power,95%+,134,0.026450848795894197,0.9671619229022117,129.59969766889637,129,0.9626865671641791,-0.44753557380325937,0.9156257225126919,0.9839584886592222
SEALED_HOLDOUT_2024_2025,market_odds_ratio,50-54.9%,700,0.1381760757994473,0.525910147987294,368.1371035911058,382,0.5457142857142857,1.9804137726991744,0.5086800297870259,0.5822495385098371
SEALED_HOLDOUT_2024_2025,market_odds_ratio,55-59.9%,871,0.17193051717331229,0.5755447334642321,501.29946284734615,495,0.5683122847301951,-0.7232448734036945,0.5351891989551432,0.600835447339529
SEALED_HOLDOUT_2024_2025,market_odds_ratio,60-64.9%,830,0.16383734701934466,0.6246653281506503,518.4722223650398,498,0.6,-2.4665328150650367,0.5662845588356096,0.6327940528644784
SEALED_HOLDOUT_2024_2025,market_odds_ratio,65-69.9%,632,0.12475325700750099,0.6739036249055497,425.9070909403074,451,0.7136075949367089,3.970397003115922,0.6771548115092748,0.7474793425780878
SEALED_HOLDOUT_2024_2025,market_odds_ratio,70-74.9%,585,0.1154757204895381,0.7245925444347427,423.88663849432453,413,0.705982905982906,-1.8609638451836719,0.6678159123965672,0.7414623345574844
