match_id,status,market_id
WTA-2021-07154,MATCHED,1.179867733
WTA-2021-07155,MATCHED,1.179929264
WTA-2021-07156,MATCHED,1.179929391
WTA-2021-07157,MATCHED,1.179867375
WTA-2021-07158,MATCHED,1.179923812
WTA-2021-07159,MATCHED,1.179928869
WTA-2021-07160,MATCHED,1.179924177
WTA-2021-07161,MATCHED,1.179867283
WTA-2021-07162,UNMATCHED,
WTA-2021-07163,MATCHED,1.179929135
WTA-2021-07164,MATCHED,1.179923984
WTA-2021-07165,MATCHED,1.179929006
WTA-2021-07166,MATCHED,1.179988104
WTA-2021-07167,MATCHED,1.180038730
WTA-2021-07168,AMBIGUOUS,
WTA-2021-07169,MATCHED,1.180024590
WTA-2021-07170,MATCHED,1.180026371
WTA-2021-07171,MATCHED,1.180036344
WTA-2021-07172,MATCHED,1.180031673
WTA-2021-07173,MATCHED,1.180025725
WTA-2021-07174,MATCHED,1.180004173
WTA-2021-07175,MATCHED,1.180070665
WTA-2021-07176,MATCHED,1.179987992
WTA-2021-07177,MATCHED,1.180023945
WTA-2021-07178,MATCHED,1.179974822
WTA-2021-07179,MATCHED,1.180027538
WTA-2021-07180,MATCHED,1.180037247
WTA-2021-07181,MATCHED,1.180066822
WTA-2021-07182,MATCHED,1.180081018
WTA-2021-07183,AMBIGUOUS,
WTA-2021-07184,MATCHED,1.180071471
WTA-2021-07185,MATCHED,1.180072829
WTA-2021-07186,MATCHED,1.180085736
WTA-2021-07187,MATCHED,1.180118049
WTA-2021-07188,MATCHED,1.180126142
WTA-2021-07189,MATCHED,1.180122280
WTA-2021-07190,MATCHED,1.180114806
WTA-2021-07191,MATCHED,1.180160688
WTA-2021-07192,MATCHED,1.180167448
WTA-2021-07193,MATCHED,1.180161669
WTA-2021-07194,MATCHED,1.180232881
WTA-2021-07195,MATCHED,1.180200080
WTA-2021-07196,MATCHED,1.180277743
WTA-2021-07197,MATCHED,1.180198854
WTA-2021-07198,MATCHED,1.180199445
WTA-2021-07199,MATCHED,1.180192405
WTA-2021-07200,MATCHED,1.180198510
WTA-2021-07201,MATCHED,1.180199948
WTA-2021-07202,UNMATCHED,
WTA-2021-07203,MATCHED,1.180199310
WTA-2021-07204,MATCHED,1.180325544
WTA-2021-07205,MATCHED,1.180277529
WTA-2021-07206,MATCHED,1.180199787
WTA-2021-07207,MATCHED,1.180198686
WTA-2021-07208,MATCHED,1.180277014
WTA-2021-07209,MATCHED,1.180192411
WTA-2021-07210,MATCHED,1.180275607
