market,period,method,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::all_books_opening,development,additive,50-54.9%,381,0.10951422822650186,0.5236100295501624,199.49542125861188,198,0.5196850393700787,-0.3924990180083743,0.46957209444333037,0.5694049950988564
football_1x2::all_books_opening,development,additive,55-59.9%,314,0.0902558206381144,0.5728943212715754,179.88881687927466,182,0.5796178343949044,0.6723513123329083,0.5243800336065737,0.6329310993888447
football_1x2::all_books_opening,development,additive,60-64.9%,246,0.07070997413049727,0.6240164601410166,153.5080491946901,151,0.6138211382113821,-1.019532192963457,0.551674344498638,0.6724677985401201
football_1x2::all_books_opening,development,additive,65-69.9%,138,0.03966657085369359,0.673507517005131,92.94403734670807,98,0.7101449275362319,3.6637410531100922,0.6295731633766152,0.7793340805436514
football_1x2::all_books_opening,development,additive,70-74.9%,122,0.03506754814601897,0.7243093856690898,88.36574505162895,80,0.6557377049180327,-6.857168075105702,0.5678346242942165,0.7341326316174024
football_1x2::all_books_opening,development,additive,75-79.9%,103,0.02960620868065536,0.771425547966801,79.4568314405805,80,0.7766990291262136,0.5273481159412619,0.6871583963606128,0.8463423685031449
football_1x2::all_books_opening,development,additive,80-84.9%,88,0.025294624892210404,0.8277976946104829,72.8461971257225,77,0.875,4.720230538951709,0.7898824415232533,0.9287472584780776
football_1x2::all_books_opening,development,additive,85-89.9%,53,0.015234262719172175,0.872870743137819,46.26214938630441,44,0.8301886792452831,-4.268206389253592,0.7077471971890396,0.9080005462038102
football_1x2::all_books_opening,development,additive,90-94.9%,5,0.0014371945961483186,0.9100676084749241,4.55033804237462,5,1.0,8.993239152507593,0.5655175352168251,1.0
football_1x2::all_books_opening,development,additive,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,development,power,50-54.9%,379,0.10893935038804255,0.5236346387512086,198.45752808670807,197,0.5197889182058048,-0.38457205454038856,0.46954409507258177,0.5696366144728422
football_1x2::all_books_opening,development,power,55-59.9%,311,0.08939350388042541,0.5727524440114251,178.1260100875532,180,0.5787781350482315,0.6025691036806391,0.5232686612811098,0.6323652256394373
football_1x2::all_books_opening,development,power,60-64.9%,247,0.07099741304972693,0.6238829612378949,154.09909142576004,152,0.6153846153846154,-0.8498345853279465,0.5533863075948726,0.6738488562730931
football_1x2::all_books_opening,development,power,65-69.9%,138,0.03966657085369359,0.6732065256792336,92.90250054373423,97,0.7028985507246377,2.9692025045404136,0.6219982697434201,0.7728087243864923
football_1x2::all_books_opening,development,power,70-74.9%,123,0.03535498706524864,0.7246758868309983,89.13513408021278,82,0.6666666666666666,-5.800922016433163,0.5794266699752488,0.7438114919096479
football_1x2::all_books_opening,development,power,75-79.9%,101,0.029031330842196033,0.7718214332457621,77.95396475782198,77,0.7623762376237624,-0.9445195621999747,0.6707248418003476,0.8348003635541833
football_1x2::all_books_opening,development,power,80-84.9%,85,0.024432308134521415,0.8277874466767753,70.3619329675259,73,0.8588235294117647,3.1036082734989368,0.7692586997665947,0.9173576706727329
football_1x2::all_books_opening,development,power,85-89.9%,58,0.016671457315320496,0.872672566269749,50.61500884364544,50,0.8620689655172413,-1.0603600752507658,0.7507409056616204,0.9284151298028188
football_1x2::all_books_opening,development,power,90-94.9%,9,0.0025869502730669733,0.9101884919368172,8.191696427431355,8,0.8888888888888888,-2.129960304792833,0.5650002944233439,0.9801091123614551
football_1x2::all_books_opening,development,power,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,development,odds_ratio,50-54.9%,381,0.10951422822650186,0.5241486117612679,199.70062108104307,202,0.5301837270341208,0.6035115272852831,0.4800178378859762,0.579747032745377
football_1x2::all_books_opening,development,odds_ratio,55-59.9%,311,0.08939350388042541,0.5734852985563585,178.3539278510275,180,0.5787781350482315,0.5292836491872954,0.5232686612811098,0.6323652256394373
football_1x2::all_books_opening,development,odds_ratio,60-64.9%,227,0.06524863466513366,0.6230305769121873,141.42794095906652,139,0.6123348017621145,-1.0695775150072806,0.5475863604253532,0.6733444908201078
football_1x2::all_books_opening,development,odds_ratio,65-69.9%,142,0.04081632653061224,0.6723524561373269,95.47404877150042,101,0.7112676056338029,3.891514949647601,0.6319444359723534,0.7794612129094742
football_1x2::all_books_opening,development,odds_ratio,70-74.9%,122,0.03506754814601897,0.7239050758341213,88.31641925176281,79,0.6475409836065574,-7.636409222756391,0.5594468999792833,0.7266273424633031
football_1x2::all_books_opening,development,odds_ratio,75-79.9%,98,0.028169014084507043,0.7707283041972076,75.53137381132635,79,0.8061224489795918,3.539414478238423,0.7169317562014913,0.8722192702546226
football_1x2::all_books_opening,development,odds_ratio,80-84.9%,87,0.025007185972980742,0.826208989723642,71.88018210595685,77,0.8850574712643678,5.884848154072586,0.8011941795053155,0.9363545220434655
football_1x2::all_books_opening,development,odds_ratio,85-89.9%,49,0.014084507042253521,0.8721261892871103,42.7341832750684,40,0.8163265306122449,-5.579965867486536,0.6864239739710013,0.9002365893792968
football_1x2::all_books_opening,development,odds_ratio,90-94.9%,2,0.0005748778384593274,0.9185734677867501,1.8371469355735002,2,1.0,8.142653221324991,0.34238022750665303,1.0
football_1x2::all_books_opening,development,odds_ratio,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,development,shin,50-54.9%,382,0.10980166714573153,0.5241387994750425,200.22102139946622,202,0.5287958115183246,0.46570120432820605,0.47870108316465215,0.5783171545002217
football_1x2::all_books_opening,development,shin,55-59.9%,308,0.08853118712273642,0.5730522042892624,176.50007892109284,179,0.5811688311688312,0.8116626879568822,0.5254012796284858,0.6349366054913678
football_1x2::all_books_opening,development,shin,60-64.9%,236,0.06783558493820063,0.6227756251761186,146.97504754156398,144,0.6101694915254238,-1.260613365069485,0.5466564296276216,0.6701534591033976
football_1x2::all_books_opening,development,shin,65-69.9%,143,0.04110376544984191,0.6727243464540977,96.19958154293597,102,0.7132867132867133,4.05623668326156,0.634350324994648,0.7810636901608823
football_1x2::all_books_opening,development,shin,70-74.9%,123,0.03535498706524864,0.7243020216012253,89.08914865695071,79,0.6422764227642277,-8.202559883699756,0.5544397380665141,0.7214952781766905
football_1x2::all_books_opening,development,shin,75-79.9%,98,0.028169014084507043,0.7709026997017615,75.54846457077262,79,0.8061224489795918,3.5219749277830337,0.7169317562014913,0.8722192702546226
football_1x2::all_books_opening,development,shin,80-84.9%,88,0.025294624892210404,0.8259022590825821,72.67939879926722,77,0.875,4.909774091741792,0.7898824415232533,0.9287472584780776
football_1x2::all_books_opening,development,shin,85-89.9%,48,0.013797068123023858,0.8710391819165514,41.80988073199447,40,0.8333333333333334,-3.7705848583218016,0.7042217159874441,0.9130448642351444
football_1x2::all_books_opening,development,shin,90-94.9%,2,0.0005748778384593274,0.9159948955669661,1.8319897911339322,2,1.0,8.40051044330339,0.34238022750665303,1.0
football_1x2::all_books_opening,development,shin,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,validation,multiplicative,50-54.9%,280,0.1206896551724138,0.5238215714534858,146.67004000697602,158,0.5642857142857143,4.046414283222843,0.505724426970536,0.6211069392068117
football_1x2::all_books_opening,validation,multiplicative,55-59.9%,258,0.11120689655172414,0.5726693712114339,147.74869777254995,149,0.5775193798449613,0.48500086335273584,0.5165417639566793,0.6362224322869398
football_1x2::all_books_opening,validation,multiplicative,60-64.9%,148,0.06379310344827586,0.623587236226235,92.29091096148278,87,0.5878378378378378,-3.574939838839719,0.5072923822791064,0.6639388493089855
football_1x2::all_books_opening,validation,multiplicative,65-69.9%,120,0.05172413793103448,0.6767713413285938,81.21256095943126,91,0.7583333333333333,8.156199200473946,0.674498509525689,0.8261415878246474
football_1x2::all_books_opening,validation,multiplicative,70-74.9%,109,0.04698275862068965,0.7231489993741282,78.82324093177998,84,0.7706422018348624,4.7493202460734185,0.6833129325107635,0.8395445404128313
football_1x2::all_books_opening,validation,multiplicative,75-79.9%,79,0.03405172413793103,0.773056071280551,61.071429631163525,57,0.7215189873417721,-5.153708393877887,0.6141755025997595,0.8083182643890088
football_1x2::all_books_opening,validation,multiplicative,80-84.9%,50,0.021551724137931036,0.819230852413246,40.9615426206623,44,0.88,6.0769147586754,0.7619518261679701,0.9438239984906773
football_1x2::all_books_opening,validation,multiplicative,85-89.9%,25,0.010775862068965518,0.8687990966616145,21.719977416540363,25,1.0,13.120090333838553,0.8668077490609515,0.9999999999999999
football_1x2::all_books_opening,validation,multiplicative,90-94.9%,1,0.0004310344827586207,0.9039069046102206,0.9039069046102206,0,0.0,-90.39069046102206,0.0,0.7934506856227626
football_1x2::all_books_opening,validation,multiplicative,95%+,0,0.0,,0.0,0,,,,
football_1x2::all_books_opening,validation,additive,50-54.9%,280,0.1206896551724138,0.5237140899138847,146.6399451758877,147,0.525,0.12859100861153383,0.4665659533495129,0.5827573557194557
football_1x2::all_books_opening,validation,additive,55-59.9%,257,0.11077586206896552,0.574141758031383,147.55443181406542,156,0.6070038910505836,3.28621330192006,0.5461350721041693,0.6647209791104793
football_1x2::all_books_opening,validation,additive,60-64.9%,165,0.07112068965517242,0.6226867563740717,102.74331480172182,94,0.5696969696969697,-5.298978667710196,0.4934120975282137,0.6428103691612355
football_1x2::all_books_opening,validation,additive,65-69.9%,111,0.047844827586206895,0.674567097130333,74.87694778146697,76,0.6846846846846847,1.011758755435166,0.59330273871225,0.7637111865811816
football_1x2::all_books_opening,validation,additive,70-74.9%,117,0.05043103448275862,0.72349282826385,84.64866090687045,91,0.7777777777777778,5.428494951392782,0.6942988381182651,0.8435960254024386
football_1x2::all_books_opening,validation,additive,75-79.9%,90,0.03879310344827586,0.7746356095735755,69.7172048616218,65,0.7222222222222222,-5.241338735135326,0.6220477250293879,0.8042031080531336
